name,company,country,price,ratings,score,type,rum_url,img_url,br_score
Neisson 2016 Ed Hamilton French Limousin,Neisson,Martinique,0,3,9.3,Agricole,/brands/7277-neisson-2016-ed-hamilton-french-limousin,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.729385786
Neisson Eleve Sous Bois Rum 50,Neisson,Martinique,0,4,6.8,Gold,/brands/581-neisson-eleve-sous-bois-rum-50,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/581/small_Neisson_Eleve_Sous_Bois_Rum_50_rum.png,5.307179788
Neisson Extra Vieux,Neisson,Martinique,0,2,8.5,Aged,/brands/8853-neisson-extra-vieux,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/8853/small_neisson-extra-vieux.png,5.338504035
Neisson Le Blanc Limited Edition,Neisson,Martinique,0,1,8,Light,/brands/8744-neisson-le-blanc-limited-edition,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,5.03907055
Neisson Le Rhum Par,Neisson,Martinique,0,7,7.4,Agricole,/brands/3974-neisson-le-rhum-par,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3974/small_neisson-le-rhum-par.png,5.783283782
Neisson L'Espirit of Neisson 70,Neisson,Martinique,0,19,8.3,Light,/brands/582-neisson-l-espirit-of-neisson-70,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/582/small_Neisson_L_Espirit_of_Neisson_70_rum.png,6.990790089
Neisson L'esprit,Neisson,Martinique,0,0,0,Agricole,/brands/9443-neisson-l-esprit,https://d1jtwiy8m5zi8a.cloudfront.net/assets/default_bottle_preview-c15f89a45f2ac217ac2081f4b07bc3d7c42a426b9e45d990a0993f53cc262b2a.png,4.77536295
Neisson L'esprit Bio,Neisson,Martinique,0,7,7.7,Overproof,/brands/5938-neisson-l-esprit-bio,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5938/small_neisson-l-esprit-bio.png,5.898490663
Neisson Profil 105,Neisson,Martinique,0,11,7.9,Aged,/brands/5643-neisson-profil-105,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/5643/small_neisson-profil-105.png,6.32165084
Neisson Profil 107,Neisson,Martinique,0,4,7.3,Gold,/brands/6833-neisson-profil-107,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6833/small_neisson-profil-107.png,5.438516128
